,PerceptNet,PerceptNet_BN,PerceptNet_BN_v2,PerceptNet_GDN,PerceptNet_GDN_v2,PerceptNet_IN,PerceptNet_IN_v2
Loss,3.4300003051757812,3.5185747146606445,3.640730142593384,3.133091926574707,2.9042811393737793,4.605555534362793,3.102064371109009
Precision,0.5977653861045837,0.5662392973899841,0.5608782172203064,0.6436781883239746,0.678787887096405,0.0,0.6207137703895569
Recall,0.032099999487400055,0.026499999687075615,0.02810000069439411,0.07280000299215317,0.08959999680519104,0.0,0.08869999647140503
AUC,0.8548002243041992,0.842227578163147,0.8246939182281494,0.877918004989624,0.8995793461799622,0.5,0.8806658983230591
Accuracy,0.19329999387264252,0.1809999942779541,0.1615999937057495,0.24199999868869781,0.2847999930381775,0.009999999776482582,0.2653000056743622
