,VGG16,VGG16_BN,VGG16_BN_v2,VGG16_GDN,VGG16_GDN_v2,VGG16_IN,VGG16_IN_v2
Loss,2.9736673831939697,3.275503158569336,53880.6015625,2.9227356910705566,2.323864698410034,3.9479737281799316,2.383071184158325
Precision,0.5442310571670532,0.5319807529449463,0.4745999872684479,0.6131364703178406,0.7373942732810974,0.48251500725746155,0.6335609555244446
Recall,0.33160001039505005,0.4641000032424927,0.4745999872684479,0.20350000262260437,0.21789999306201935,0.4097999930381775,0.3061999976634979
AUC,0.8781242966651917,0.8592200875282288,0.7346964478492737,0.8864368200302124,0.9346730709075928,0.8247430324554443,0.9163351655006409
Accuracy,0.3944999873638153,0.4828000068664551,0.4745999872684479,0.33480000495910645,0.3984000086784363,0.42899999022483826,0.41290000081062317
